"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 31 07:25:33 GMT 2024","Wed Jan 31 07:25:34 GMT 2024","656","","single_advanced_practice","TestHotelPlan","","","test_hotel_login_and_booking_normal_rank[chromium-no_1-ichiro@example.com-password]",""
"passed","Wed Jan 31 07:25:38 GMT 2024","Wed Jan 31 07:25:40 GMT 2024","1916","","single_advanced_practice","TestHotelPlan","","","test_hotel_login_and_booking_normal_rank[chromium-no_4-yoshiki@example.com-pass-pass]",""
"passed","Wed Jan 31 07:13:12 GMT 2024","Wed Jan 31 07:13:13 GMT 2024","669","","test_kadai","TestHotelPlanisphere","","","test_three_month_after[chromium]",""
"passed","Wed Jan 31 07:13:09 GMT 2024","Wed Jan 31 07:13:10 GMT 2024","912","","test_kadai","TestHotelPlanisphere","","","test_before_today[chromium]",""
"passed","Wed Jan 31 07:13:11 GMT 2024","Wed Jan 31 07:13:12 GMT 2024","663","","test_kadai","TestHotelPlanisphere","","","test_name_space_blank[chromium]",""
"failed","Wed Jan 31 07:25:37 GMT 2024","Wed Jan 31 07:25:38 GMT 2024","327","","single_advanced_practice","TestHotelPlan","","","test_hotel_login_and_booking_normal_rank[chromium-no_3-jun@example.com-pa55w0rd!]",""
"passed","Wed Jan 31 07:25:35 GMT 2024","Wed Jan 31 07:25:37 GMT 2024","2047","","single_advanced_practice","TestHotelPlan","","","test_hotel_login_and_booking_normal_rank[chromium-no_2-sakura@example.com-pass1234]",""
